dagbani	english
dasiba	good morning
ka di be wula?	how are you?
m paɣya	thank you
nyaɣsim	pleasure
n yura	i love you
sokam	everyone
sohala	yesterday
sochira	intersection
sochira	crossroads
sochanda	traveller
zuŋɔ	today
ami	amen
yɛda	trust
yee	voice
yɛɣu	bead
yɛri	beads
shahira	evidence
sheje	bastard
sheli	something
pasheli	nothing
shelikam	everything
shelipolo	somewhere
shelorigu	belt
shim	stingy
zunubi	transgression
zunzuli	worm
kamaata	necessary
niŋ mi din tu kamaata	do something necessary
een	yes
n tum sarigi	I’m sorry
a yuli nboni bo?	what is your name?
enchanté de vous rencontrer	nice to meet you
a shinshaɣ baa?	where is the bathroom?
shinshaɣ	bathroom
m be gbai	I don't understand
ani tio sɔŋ maa?	can you help me?
sɔŋ ma	help me
teeku	sea
wakati deni m bɔŋɔ?	what time is it?
n niyu	I would like
n di yuya	I would have like
tichama	let's go
ala n nyɛli?	how much does this cost?
diyi toibela	see you later
venyela	decency
venyeliŋga	well
vi	shame
mahim	shade
tɔbu	war
nyaan yibo	betrayal
nzo	my friend
n yura	my love
malaika	angel
naawuni	god
ko-om	water
dinchana	trending
balima	persuade
baa	dog
bahi	dogs
bia	child
bihi	children
a	you
bua	goat
buhi	goats
dagbanli	dagbani
kamina	come
kɔdu	banana
naa	king
nam	kingship
paɣa	woman
sagbani	cloud
sima	groundnut
bara	patient
tahama	hope
tolotolo	turkey
tiŋgban’ nɛli	desert
wuntaŋ	sun
ti	give
tia	tree
tihi	trees
suhuzohibo	anxiety
pɔli	hernia
nangbanyini	unity
ti mali nangbanyini	we are united
ti	we
pɔhimʒiɛpiliŋga	whirlwind
suɣulɔ	patience
tahma	expectation
tintoi	we can
duuma	lord
n duuma	my lord
ti duuma	our lord
doo	man
chama	go
alizanda	heaven
tingbani	land
fara	poverty
nimoo	serious
n nin moya pam	i am very serious
pam	very
ku	kill
kɔhi	buy
balli	tribe
zulya	clan
ya	where
boligu	calling
alikauli	promise
alkalmi	pencil
alkalmi	pen
alikopta	helicopter
aliwalla	ablution
alizama	conversation
alizanda	paradise
alizumba	friday
alizini	genie
varisa	treachery
alibasa	onion
alibarika	blessing
alibarika	grace
anfaani	usefulness
anfoni	picture
so bi mi	no one knows
alaka	trouble
alaha	cheap
alaamu	calamity
alaafee	pineapple
ala	how much
alaamiishi	thursday
akarima	drummer
agogo	watch
agbaa	noon
adua	pigeon-pea
adiiku	luggage
adiini	religion
abe	palm nuts
abinfuura	balloon
abe tia	palm tree
abba	disgust
abada	never
lala ku niŋ, hali abada	that will never happen
abaa	disapproval
aayi	no
aayi	wrong
biyurli	favourite child
biyurgu	beloved child
blooku	block
shikuru	school
karin zɔŋ	class room
bo	what
bleedi	razorblade
asadaachi	bride price
sala	charcoal
ninsala	human
salnima	human being
salo	crowd
sam	mash
samafuu	aluminium
salma	gold
samli	debt
sana	stranger
saamba	strangers
sandaani	apology
sandana	creditor
sandira	debtor
saniya	scale
sanyoo	repayment
sanzali	drought
yobli	termite
yohim	deceive
yohinda	deceiver
yohim fa	dupe
yoli	vain
a niŋ simŋɔ be yoli	what you do is in vain
ti kan-na	we are coming
ti chaŋya	we have gone
Zeya	stand
fahim	intelligence
fali	inheritance
faluŋ	lightweighted
fasara	lecture
fashee	unless
fashee a kana	unless you come
fawaɣli	carelessness
fawaɣli	procrastination
gaafara	pardon
gaafara	forgiveness
duni	knee
dumbia	knee cap
dunia	world
dunianima	people of the world
dundobia	doorstep
dundogula	gatekeeper
duŋ	enmity
duuŋa	mosquito
duunsi	mosquitos
faako	mercy
fabu	extortion
salaa	uninverse
achiika	verly
atalata	tuesday
atani	monday
suŋ	good
shupiɛli	happy
yoli	vanity
boli	call
boli mo	call him
boli mo	call her
bolim ba	call them
bolim ma	call me
guui	run
guubu	runing
o guui yi kpaŋa	he run away
kpaŋa	away
zo	friend
zɔri	friendship
wabu	dancing
waa	dance
o daa warimi	she was dancing
o daa na warimi	she was still dancing
amaa	but
amaa n daa bɛni	but i was there
gahindili	special
gali	thread
jirlim	foolishness
jia	short
jergu	fool
jema	praise
naawuni su jema	praise be to god
jeŋkuno	cat
jeŋkunbirugu	feral cat
jeni	spindle
jeŋgbuni	leopard
yom	quickly
yɔma	near
yɔmayɔma	very near
gbuɣinli	lion
gbuɣi	common
gbubi	keep
sarati	accident
shariga	niddle
sariga	veil
sariga	judgement
sarika	prison
sara	tobacco
n mali bua yini	i have one goat
o mali bihi ayi	she has two children
ti mali la bagi pia	we have ten bags
N bori la dɔɣite.	I need a doctor.
Karimmi buku maa ti maa	Read the book for me
Karimmi buku maa yomyom	read the book fast
Karimmi buku maa yomyom	read the book quickly
