dagbani	english
yini	one
ayi	two
ata	three
anahi	four
anu	five
ayɔbu	six
ayɔpɔin	seven
anii	eight
awɛi	nine
pia	ten
piniyini	eleven
pinaayi	twelve
pinaata	thirteen
pinaahi	fourteen
piinaanu	fifteen
pinaayɔbu	sixteen
pinaayopɔin	seventeen
pisaayika	eighteen
pisiyinika	nineteen
pisi	twenty
pishi ni yini	twenty-one
pishi ni ayi	twenty-two
pishi ni ata	twenty-three
pishi ni anahi	twenty-four
pishi ni anu	twenty-five
pishi ni ayobu	twenty-six
pishi ni apɔi	twenty-seven
pihita ayi ka	twenty-eight
pihita yini ka	twenty-nine
pihita	thirty
pihita ni yini	thirty-one
pihita ni aiyi	thirty-two
pihita na ata	thirty-three
pihita ni anahi	thirty-four
pihita ni anu	thirty-five
pihita ni ayɔbu	thirty-six
pihita ni ayɔpɔin	thirty-seven
pihita ni anii	thirty-eight
pihita ni awɛi	thirty-nine
pihinahi	forty
pihinahi ni yini	forty-one
pihinahi ni ayi	forty-two
pihinahi ni ata	forty-three
pihinahi ni anahi	forty-four
pihinahi ni anu	forty-five
pihinahi ni ayɔbu	forty-six
pihinahi ni ayɔpɔin	forty-seven
pihinahi ni anii	forty-eight
pihinahi ni awɛi	forty-nine
pihinu	fifty
pihinu ni yini	fifty-one
pihinu ni ayi	fifty-two
pihinu ni ata	fifty-three
pihinu ni anahi	fifty-four
pihinu ni anu	fifty-five
pihinu ni ayɔbu	fifty-six
pihinu ni ayɔpɔin	fifty-seven
pihinu ni anii	fifty-eight
pihinu ni awɛi	fifty-nine
pihiyɔbu	sixty
pihiyɔbu ni yini	sixty-one
pihiyɔbu ni ayi	sixty-two
pihiyɔbu ni ata	sixty-three
pihiyɔbu ni anahi	sixty-four
pihiyɔbu ni anu	sixty-five
pihiyɔbu ni ayɔbu	sixty-six
pihiyɔbu ni ayɔpɔin	sixty-seven
pihiyɔbu ni anii	sixty-eight
pihiyɔbu ni awɛi	sixty-nine
pihiyɔpɔin	seventy
pihiyɔpɔin ni yini	seventy-one
pihiyɔpɔin ni ayi	seventy-two
pihiyɔpɔin ni ata	seventy-three
pihiyɔpɔin ni anahi	seventy-four
pihiyɔpɔin ni anu	seventy-five
pihiyɔpɔin ni ayɔbu	seventy-six
pihiyɔpɔin ni ayɔpɔin	seventy-seven
pihiyɔpɔin ni anii	seventy-eight
pihiyɔpɔin ni awɛi	seventy-nine
pihinii	eighty
pihinii ni yini	eighty-one
pihinii ni ayi	eighty-two
pihinii ni ata	eighty-three
pihinii ni anahi	eighty-four
pihinii ni anu	eighty-five
pihinii ni ayɔbu	eighty-six
pihinii ni ayɔpɔin	eighty-seven
pihinii ni anii	eighty-eight
pihinii ni awɛi	eighty-nine
pihiwɛi	ninety
pihiwɛi ni yini	ninety-one
pihiwɛi ni ayi	ninety-two
pihiwɛi ni ata	ninety-three
pihiwɛi ni anahi	ninety-four
pihiwɛi ni anu	ninety-five
pihiwɛi ni ayɔbu	ninety-six
pihiwɛi ni ayɔpɔin	ninety-seven
pihiwɛi ni anii	ninety-eight
pihiwɛi ni awɛi	ninety-nine
kɔbiga	one hundred
