english	dagbani
one	yini
two	ayi
three	ata
four	anahi
five	anu
six	ayɔbu
seven	ayɔpɔin
eight	anii
nine	awɛi
ten	pia
eleven	piniyini
twelve	pinaayi
thirteen	pinaata
fourteen	pinaahi
fifteen	piinaanu
sixteen	pinaayɔbu
seventeen	pinaayopɔin
eighteen	pisaayika
nineteen	pisiyinika
twenty	pisi
twenty-one	pishi ni yini
twenty-two	pishi ni ayi
twenty-three	pishi ni ata
twenty-four	pishi ni anahi
twenty-five	pishi ni anu
twenty-six	pishi ni ayobu
twenty-seven	pishi ni apɔi
twenty-eight	pihita ayi ka
twenty-nine	pihita yini ka
thirty	pihita
thirty-one	pihita ni yini
thirty-two	pihita ni aiyi
thirty-three	pihita na ata
thirty-four	pihita ni anahi
thirty-five	pihita ni anu
thirty-six	pihita ni ayɔbu
thirty-seven	pihita ni ayɔpɔin
thirty-eight	pihita ni anii
thirty-nine	pihita ni awɛi
forty	pihinahi
forty-one	pihinahi ni yini
forty-two	pihinahi ni ayi
forty-three	pihinahi ni ata
forty-four	pihinahi ni anahi
forty-five	pihinahi ni anu
forty-six	pihinahi ni ayɔbu
forty-seven	pihinahi ni ayɔpɔin
forty-eight	pihinahi ni anii
forty-nine	pihinahi ni awɛi
fifty	pihinu
fifty-one	pihinu ni yini
fifty-two	pihinu ni ayi
fifty-three	pihinu ni ata
fifty-four	pihinu ni anahi
fifty-five	pihinu ni anu
fifty-six	pihinu ni ayɔbu
fifty-seven	pihinu ni ayɔpɔin
fifty-eight	pihinu ni anii
fifty-nine	pihinu ni awɛi
sixty	pihiyɔbu
sixty-one	pihiyɔbu ni yini
sixty-two	pihiyɔbu ni ayi
sixty-three	pihiyɔbu ni ata
sixty-four	pihiyɔbu ni anahi
sixty-five	pihiyɔbu ni anu
sixty-six	pihiyɔbu ni ayɔbu
sixty-seven	pihiyɔbu ni ayɔpɔin
sixty-eight	pihiyɔbu ni anii
sixty-nine	pihiyɔbu ni awɛi
seventy	pihiyɔpɔin
seventy-one	pihiyɔpɔin ni yini
seventy-two	pihiyɔpɔin ni ayi
seventy-three	pihiyɔpɔin ni ata
seventy-four	pihiyɔpɔin ni anahi
seventy-five	pihiyɔpɔin ni anu
seventy-six	pihiyɔpɔin ni ayɔbu
seventy-seven	pihiyɔpɔin ni ayɔpɔin
seventy-eight	pihiyɔpɔin ni anii
seventy-nine	pihiyɔpɔin ni awɛi
eighty	pihinii
eighty-one	pihinii ni yini
eighty-two	pihinii ni ayi
eighty-three	pihinii ni ata
eighty-four	pihinii ni anahi
eighty-five	pihinii ni anu
eighty-six	pihinii ni ayɔbu
eighty-seven	pihinii ni ayɔpɔin
eighty-eight	pihinii ni anii
eighty-nine	pihinii ni awɛi
ninety	pihiwɛi
ninety-one	pihiwɛi ni yini
ninety-two	pihiwɛi ni ayi
ninety-three	pihiwɛi ni ata
ninety-four	pihiwɛi ni anahi
ninety-five	pihiwɛi ni anu
ninety-six	pihiwɛi ni ayɔbu
ninety-seven	pihiwɛi ni ayɔpɔin
ninety-eight	pihiwɛi ni anii
ninety-nine	pihiwɛi ni awɛi
one hundred	kɔbiga
