english	dagbani
house	yili
houses	yiya
room	duu
rooms	duri
door	dundoli
doors	dundoya
roof	mopil'li
roofs	mopila
wall	gooni
walls	goma
kitchen	duduhigu
kitchens	duduhusi
bed	garo
beds	gariti
mat	sɔŋ
mats	sɔna
pillow	dufiɛli
pillows	dufiɛya
boxes	adakanima
spoons	diriti
ladle	chɛriga
ladles	chɛriti
bowl	ŋmani
bowls	ŋmana
bowl	kuriga
bowls	kuriganima
knife	sua
knives	suhi
pot	duɣu
pots	duɣuri
fire	buɣim
fires	buɣima
water	kom
waters	koma
salt	yalim
pepper	naanzua
oil	kpam
oils	kpama
onion	alibarisa
onions	alibarisanima
tomato	kamantooŋa
tomatoes	kamantoonsi
okro	maani
okros	mana
fish	zahim
soap	chibo
soaps	chibiti
towel	bodua
towels	boduanima
bucket	bɔɣati
buckets	buɣatinima
comb	zabisahirigu
combs	zabisahirisi
sponge	sɔɣiso
sponges	sɔɣisonima
fowl	noo
cow	nahu
aardvark	tiŋbuŋ
baboon	kparili
bandicoot	dayuɣu
bat	zɔŋa
buffalo	yonahu
bush buck	sankpaluŋ
fox	ŋɔɣu
hyena	kunduŋ
gazelle	mulfu
grass cutter	ŋɔŋli
squirrel	laringa
hartebeest	sibiga
hedgehog	yuɣimpɛni
hippopotamus	ŋamli
ibex	yɔbua
jackal	yɔbaa
red buck	vulugu
mole	nantariga
rhinoceros	kantamparim
zebra	kɔɣu
warthog	dee
tz	sagam
eat tz	dimi sagam
eat all the tz	dimi sagam maa zaa
fufu	sakoro
honey	shiri
eat	dima
drink	nyuma
drink all	nyumi di zaa
drinking soup	piebbu
red (plural)	ziehi
blue (plural)	bluuu’
green (plural)	bankoma
yellow (plural)	dozima
black (plural)	sablar
white (plural)	pielar
tall	waga
fat	bara
beautiful	viela
ugly	biegau
hello	n doo
hello	n kpɛma
please	dimi suɣulo
thank you	m puhiya ka paɣi
you're welcome	naawuni deemi suhugu
father	m’ba
mother	m’ma
brother	tizodoo
sister	tizopaɣa
son	dapala
daughter	bipuhinga
family	daŋa
english	dagbani
fine, thank you	m mali alaafei, m paɣiya
my name is _____	n yuli booni _____
excuse me	gaafara
i'm sorry	n tumi taali
goodbye	naawuni ni sɔŋ
goodbye (informal)	bai bai
i can't speak dagbani [well]	n ku tooi yɛli dagbanli [viɛnyɛla]
do you speak english?	n ni tooi yɛli silimiinsilii?
is there someone here who speaks english?	so be kpe ka yari silimiinsilii?
help!	sɔŋmi ya ma!
look out!	lihi ma!
where is the toilet?	ya polo ka baanjira be?
leave me alone	zaŋ ma bahi
don't touch me!	di shihi ma!
i'll call the police	n yɛn bol'la prinsi
police!	polinga!
stop! thief!	zani ma! tayiɣa!
i need your help	m bori la a sɔŋsim
it's an emergency	nimmohi m bala
i'm lost	n tumla n soli
i lost my bag	n labi la m baagi
i lost my wallet	n labi la m poochibila
i'm sick	m bɛri mi
i've been injured	n nyɛla daŋa
can i use your phone?	n ni tooi zaŋ a phone ŋɔ n niŋ m bini ŋɔ?
i will learn dagbani	nni boham dagbani
he/she will learn english	o ni boham silimiinsili
they will go to america	be ni chag amerika
isabella will come tomorrow	isabella san kana
we will come early	ti dag yig’ labbu na
you will come home early (plural)	yini kana yig yomyom
come child!	kamna bia!
come here!	kamna kpe!
look, stop it!	nyema, chela!
farouk, it's ok, stop that!	chela farouk, cheli lala!
stop the noise, leave me!	cheli vuri, cheli ma!
stop talking!	cheli yelgu / yeltoga!
go and be drinking your alcohol!	cham’, nyu ma adam
go and do your work	cham’ tumm’ atuma
sit down child!	ziinima bia
sit down and eat tz (tuon zaafii)	ziinim’ ndi sagam
sit down and stop making noise	zinim’ ka chea viri!
sit down and sing a song	ziinim’ yili yila
grandfather	yɛb’doo
grandmother	yɛb’paɣa
parent	laamba
stepfather	mba
stepmother	mma yintah
cousins	dachiya
inlaws	deenima
ancestor	siɣli lana
descendant	zuliya
heir	zuu
heiress	pakpang
bachelor	dakↄli
spinster	paɤ’ zinli
twin	jabila
orphan	kpibga
ex husband	yidan kuro
ex wife	pa kuro
king of strength/power	yaa naa
husband	yidana
queen	pagnaa
queen’s mother	napaga
earth priest	tindana
