english	dagbani
DATE TITLE IN PAG	AUTHOR Firs CO
disapproval KO	aakai
never.  (Used word final in	abada
palm nuts KO	abe
balloon (Hausa)  KO	abinfuura
state of collapse brought on by	abirima
plantain	aboboi
friend (Hausa ‘female friend’)  KO	abuya
ballot box  ‘small box’ KO	adakabila
religion (Arabic via Hausa )  KO	adiini
bag, luggage KO	adiku
prayer.	adua
pigeon -pea < Hausa	adua
Cajanus cajan	adua
comb  KO	afi
a disease of the eyelid.	afu
recovering from sickness [ O doro maa niŋ afua.  He is	afua
noon, twelve o’clock;  zenith  KO	agbaa
leaves of an edible shrub	agbadudu
drummer  (of talking drums)	akarma
accountant <English	akunta
dock ??  KO	akpaaku
how much?	ala
omen. (calamity KO) [Usually considered a bad omen	alaamu
cheap price.	alaha
sin;  an offence against God.   [ vide, taali].	alahachi
omen.   [ Alaha vielli, good omen.	alaha
trouble	alaka
how much for each?   [when quantities are on	alala
cowardice.   [ O niŋ alali.  He is cowardly.]	alali
disgraceful act.  (something very little KO)	alebo
palm kernel oil.	aleji
c ‘spinach’ (a green vegetable) KO	aleefu
honey cooked until hard,	aleewa
Assemblies of God church  ‘Halleluya!’ ni (at) KO	aleluyani
usefulness	alfaani
exceptionally.   Di viella algaya.  It is	algaya
cloak;   coat  Arabic via Hausa  ; cf. KO	alicheba
really   KO	aligaaya
fraud	aligusu
gift	aliheeri
covenant, promise, bond,	alikaule
helicopter <English  KO	alikota
long cassock KO	alikundoŋ
ablution ( Hausa fr.  Arabic)  KO	aliwalla
conversation.   [ Di alizama.  To converse.]	alizama
conversation Arabic via Hausa  ‘meeting, KO	alizama
heaven; paradise.	alizanda
Friday.   <Arabic (also alizimma KO)	alizimba
judge	alkali
promise	alkauli
good luck.   [ A d-alobu na be nyaaŋa.	alobu
reddish dye.   <Hausa	aluura
ablution.   <Hausa	alwalla
pocket Arabic via Hausa KO	alziifu
but Arabic via Hausa	amaa
the Sahara desert.   <Hausa  <Arabic	amaada
trusteeship; the holding or	amaana
corruption (! - see above)   KO	amaana
stretcher;   type of carriage Eng.  ‘hammock’ KO	amaŋka
a secret agreement,	amiinsi
bride	amiliya
children’s game: played by	ampe
answer <Hausa  KO	amsa
four	anahi
European Arabic via Hausa KO	anashaara
handkerchief  KO	anchiti
benefit, dividend Arabic via Hausa KO	anfaani
mockery; ridicule.   [ mali ansarsi, to mock or	ansarsi
a salutation as a midday	antire
five.	anu
worth; value	anuura
maize.	anyangbana
unfaithfulness	anyibi
courage; persistence.	anzansi
silver.	anzinfa
occult powers by which	aŋkadi
omen.   [ aŋko vielli, good omen;  aŋ	aŋko
loss; misfortune.   <Hausa  [ vide, ashaara]	asaara
dowry.	asadachi
comical conduct	asafi
comical conversation.	asafihili
joke; jest.   [dialectic, alsahi]	asahi
cheapness of price.	asama
morning.	asiba
early morning.	asibasi
Saturday.   <Arabic	asibiri
in reality, or not knowing	ashaala
loss, misfortune.   <Hausa [dialectic, asa’ara]	ashaara
secretly.	ashiloni
name of an elder male twin;	Ata
three.	ata
Tuesday.	atalata
farm produce.	atam
Monday.   <Arabic	atani
nine.	awai
plantain. < Hausa	ayaba
six.	ayi
dishonesty	ayiinsi
six.	ayobu
seven.	ayopoin
trouble	azaaba
fate	azali
treasure; riches.  <Hausa	azichi
food.   [ vide, zuri]	azua
pilgrimage to Mecca	aZi
to perform the rite to establish	ŋa
tale-bearing	baachali
v creeping vine.	baŋnarga
knowledge	baŋsim
too known fellow KO	baŋtooŋa
boasting, bragging. nyu bara  ‘to boast, brag’	bara
begging ( KO)	bara
to be big,  large, fat di bara, bi daa borimi	bara
d syphilis.	barga
sickness.	bargu
undo a trap KO	barigi
blessing	barika
danger	barna
fake, not so good KO	bariŋ
lose, get lost (?) KO	barisi
disorder KO	basaa
barking dog KO	bawahiriga
habit	bebu
or (always used between two	bee
character	behigu
doubt.   [ vide alehitama].	behuŋ
mattress KO	belli
dwelling KO	benibu
mischief.	bibietali
mischief	bibilim
backwards in direction.	bibirli
bravery KO	bidiblim
weapon  KO boys’ equipment	bidibbini
gradually; carefully; quietly KO	bielabiela
cantankerous, malice [O mali aZiloni biem.  He has	biem
paining, hurting.	biergu
