english	dagbani
disapproval	aakai
never. (Used word final in	abada
palm nuts	abe
balloon (Hausa)	abinfuura
state of collapse brought on by	abirima
plantain	aboboi
friend (Hausa ‘female friend’)	abuya
ballot box ‘small box’	adakabila
religion (Arabic via Hausa )	adiini
bag, luggage	adiku
prayer.	adua
pigeon -pea < Hausa	adua
Cajanus cajan	adua
comb	afi
a disease of the eyelid.	afu
recovering from sickness [ O doro maa niŋ afua. He is	afua
noon, twelve o’clock; zenith	agbaa
leaves of an edible shrub	agbadudu
drummer (of talking drums)	akarma
accountant <English	akunta
dock ??	akpaaku
how much?	ala
omen. (calamity ) [Usually considered a bad omen	alaamu
cheap price.	alaha
sin; an offence against God. [ vide, taali].	alahachi
omen. [ Alaha vielli, good omen.	alaha
trouble	alaka
how much for each? [when quantities are on	alala
cowardice. [ O niŋ alali. He is cowardly.]	alali
disgraceful act. (something very little )	alebo
palm kernel oil.	aleji
c ‘spinach’ (a green vegetable)	aleefu
honey cooked until hard,	aleewa
Assemblies of God church ‘Halleluya!’ ni (at)	aleluyani
usefulness	alfaani
exceptionally. Di viella algaya. It is	algaya
cloak; coat Arabic via Hausa ; cf.	alicheba
really	aligaaya
fraud	aligusu
gift	aliheeri
covenant, promise, bond,	alikaule
helicopter <English	alikota
long cassock	alikundoŋ
ablution ( Hausa fr. Arabic)	aliwalla
conversation. [ Di alizama. To converse.]	alizama
conversation Arabic via Hausa ‘meeting,	alizama
heaven; paradise.	alizanda
Friday. <Arabic (also alizimma )	alizimba
judge	alkali
promise	alkauli
good luck. [ A d-alobu na be nyaaŋa.	alobu
reddish dye. <Hausa	aluura
ablution. <Hausa	alwalla
pocket Arabic via Hausa	alziifu
but Arabic via Hausa	amaa
the Sahara desert. <Hausa <Arabic	amaada
trusteeship; the holding or	amaana
corruption (! - see above)	amaana
stretcher; type of carriage Eng. ‘hammock’	amaŋka
a secret agreement,	amiinsi
bride	amiliya
children’s game: played by	ampe
answer <Hausa	amsa
four	anahi
European Arabic via Hausa	anashaara
handkerchief	anchiti
benefit, dividend Arabic via Hausa	anfaani
mockery; ridicule. [ mali ansarsi, to mock or	ansarsi
a salutation as a midday	antire
five.	anu
worth; value	anuura
maize.	anyangbana
unfaithfulness	anyibi
courage; persistence.	anzansi
silver.	anzinfa
occult powers by which	aŋkadi
omen. [ aŋko vielli, good omen; aŋ	aŋko
loss; misfortune. <Hausa [ vide, ashaara]	asaara
dowry.	asadachi
comical conduct	asafi
comical conversation.	asafihili
joke; jest. [dialectic, alsahi]	asahi
cheapness of price.	asama
morning.	asiba
early morning.	asibasi
Saturday. <Arabic	asibiri
in reality, or not knowing	ashaala
loss, misfortune. <Hausa [dialectic, asa’ara]	ashaara
secretly.	ashiloni
name of an elder male twin;	Ata
three.	ata
Tuesday.	atalata
farm produce.	atam
Monday. <Arabic	atani
nine.	awai
plantain. < Hausa	ayaba
six.	ayi
dishonesty	ayiinsi
six.	ayobu
seven.	ayopoin
trouble	azaaba
fate	azali
treasure; riches. <Hausa	azichi
food. [ vide, zuri]	azua
pilgrimage to Mecca	aZi
to perform the rite to establish	ŋa
tale-bearing	baachali
v creeping vine.	baŋnarga
knowledge	baŋsim
too known fellow	baŋtooŋa
boasting, bragging. nyu bara ‘to boast, brag’	bara
begging ( )	bara
to be big, large, fat di bara, bi daa borimi	bara
d syphilis.	barga
sickness.	bargu
undo a trap	barigi
blessing	barika
danger	barna
fake, not so good	bariŋ
lose, get lost (?)	barisi
disorder	basaa
barking dog	bawahiriga
habit	bebu
or (always used between two	bee
character	behigu
doubt. [ vide alehitama].	behuŋ
mattress	belli
dwelling	benibu
mischief.	bibietali
mischief	bibilim
backwards in direction.	bibirli
bravery	bidiblim
weapon boys’ equipment	bidibbini
gradually; carefully; quietly	bielabiela
cantankerous, malice [O mali aZiloni biem. He has	biem
paining, hurting.	biergu
placenta (??)	bieri
pain bieri boribu ‘revenge’:	bieri
illness, pain.	bierim
sand	bihigu
milk. <‘butter’ [TN]	bihikpaam
female breast	bihilibiha
milk	bihim
heat	biisim
loss of a child by	bikoba
a dance.	bila
uprising an ‘uprising’ is a riot :	bilbili
turn over; roll and shift a little or biligi	bilgi
noble person, patriot	bilichini
childishness,	bilim
uprightness	bilchinsi
essence of meat	bim
piece N+A (Adj. is verbal	bimburginli
toilet paper (stick)	bindibga
kori	be n
lay or put across gap; cross	baai
bag <English	baaji
quietly	baalim
smell of animals incl. human	baam
type of dance	baamaya
battery <English	baatiri
not in the least; none.	babiela
alphabet, letter(s) of alphabet /JC : from ‘a-b-c’ [TN]	bachi
t acacia arabica tree (used in tanning hides).	bagalua
ending	bahigu
doom, perishing [vide bahi ]	bahiyoli
a week. <Hausa	bakwoi
to be soft	bala
be (sentence filler) Q/ ‘it’	bala
how much less	balee
an assortment of small units	balgu
become soft; slow down	baligi
shrub, the base of which are	balima
slowly, quietly, carefully cf. baalim	balimbalim
how much more. [Paƒ a so kaa ta, o bia yela	balintee
palm wine.	bam
sham excuse. [ Bama m-bala. It is a sham	bama
person having least knowledge	bambu
name	is a lunar month
v a climbing plant, the leaves of	bandoba
plural form. who? [ Banima mbala? Who are	banima
da bitch, female dog	banyaŋ
dog teeth = bite by a dog	banyini
knowledge	baŋbu
triumph or victory dance The title of Naa Siƒ ili since the	baŋgumaŋa
c new cocoyam < Hausa?	baŋkani
c Xanthosoma mafaffa < Hausa?	baŋkani
bank (for money) <English	baŋki
grass.	baŋlari
v creeping pea plant. ‘leaves of bean’ also beŋ- ?	baŋli
r agama lizard [bandoƒ u, male form.] The	baŋli
