english	dagbani	source
# === SOURCE: https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/ ===
Grandfather	Yɛb'doo	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Grandmother	Yɛb'paɣa	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Father	M'ba	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Mother	M'ma	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Brother	Tizodoo	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Sister	Tizopaɣa	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Father's elder brother (uncle)	Bakpema	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Father's junior brother (uncle)	Bapira	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Father's sister (aunt)	Piriba	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Mother's elder sister (aunt)	Mapkema	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Mother's junior sister (aunt)	Mapira	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Mother's brother (uncle)	ŋahiba	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Son	Dapala	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Daughter	Bipuhinga	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Cousins	Dachiya	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Grandchild	Yaanga	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Great grandchild	Yaantib'che	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
In-laws	Deenima	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Nephew / Niece	ŋahiŋga	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Ancestor	Siɣli lana	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Bachelor	Dakↄli	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Children	Bihi	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Descendant	Zuliya	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Ex-husband	Yidan kuro	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Ex-wife	Pa kuro	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Family	Daŋa	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Fiancée	Mam	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Heir	Zuu	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Heiress	Pakpang	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Husband	Yidana	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Infancy	Bilimni	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Inheritance	Fali	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Marriage	Paɣ' kpuɤbo	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Orphan	Kpibga	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Parent	Laamba	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Stepfather	Mba	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Stepmother	Mma yintah	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Spinster	Paɤ' zinli	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
Twin	Jabila	https://lagim.blogs.brynmawr.edu/2015/12/06/dagbani-vocab-family-members/
# === SOURCE: https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/ ===
I am	N nyela	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
You are (singular)	A nyela	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
He / She / It is	O nyela	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
It is	Di nyela	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
We are	Ti nyela	https://lagim.blogs.brynmawr.edu/2015/11/13/lesson-one/
