url,content
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,Learn Dagbanli (Dagbanli Bↄhimbu)
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,Numbers In Dagbanli (1 to 100)
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,Mark Complete
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,"Numbers in Dagbanli can be differentiated between counting and non counting numbers. This difference is mostly tied to daily usage and counting items. Unlike English where counting and usage of a number is the same. Counting five, n-nu in Dagbanli is different from saying, ""give me five tomatoes"". You will say ""give me tomatoes anu""(""tim'ma tomatoes anu""). Anu here is five in Dagbanli. Here's a list of numbers in Dagbanli from 1 to 100."
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,Number Counting Non-Counting (Daily Usage)
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,1 n-daam Yini
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,2 n-yi Ayi
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,3 n-ta Ata
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,4 n-nahi Anahi
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,5 n-nu Anu
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,6 n-yobu Ayobu
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,7 m-pɔi Apɔi
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,8 n-nii Anii
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,9 n-wei Awei
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,10 Pia Pia
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,11 Pia ni yini Pin yini
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-1&lesson=04-numbers-in-dagbani-1-to-100,12 Pia ni ayi Pin ayi
