source,type,Question in English,Question in Dagbani,Question (Dagbani),Answer (Dagbani),Question (English),Answer (English),Personal pronouns (Dagbani),Personal pronoun (English),Negation (Dagbani),Negation (English),Dagbani,English,line_index,content,Singular,Plural,Translation,Day,Dagbaŋ Month,English Month,Dagbanli,Alternative/Plural
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,Who?,ŋuni?,,,,,,,,,,,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,What?,Bo?,,,,,,,,,,,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,Where?,Ya?,,,,,,,,,,,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,,,Bo ka a niŋda?,N guurimi,What are you doing?,I am running,,,,,,,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,,,Bo ka bia maa niŋda?,Bia maa dirila bindirigu,What is the child doing?,The child is eating food,,,,,,,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,,,Bo ka paɣa maa niŋda?,Paɣa maa bohindila Dagbani,What is the woman doing?,The woman is learning Dagbani,,,,,,,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,,,,,,,n,I,N bi,I do not/ I am not,,,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,,,,,,,a,You,A bi,You do not/ You are not,,,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,,,,,,,o,He/She/It,O bi,He/She/It does not / He/She/It is not,,,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,,,,,,,bi,They,Bi bi,They do not/ They are not,,,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,,,,,,,ti,We,Ti Bi,We do not/ We are not,,,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,,,,,,,,,,,N bi zaya. N ʒimi.,I am not standing. I am sitting.,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,,,,,,,,,,,A bi dira. A nyurimi.,You are not eating. You are drinking.,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,,,,,,,,,,,O bi kuhira. O larimi.,He/She/It is not crying. He/She/It is laughing.,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,,,,,,,,,,,Bɛ bi chana. Bɛ guurimi.,They are not walking. They are running.,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,table_row,,,,,,,,,,,Ti bi karinda. Ti warimi.,We are not learning. We are dancing.,,,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,0.0,Learn Dagbanli (Dagbanli Bↄhimbu),,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,1.0,Present Continuous in Dagbani,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,2.0,Mark Complete,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,3.0,"In English, the present continuous combines the present tense of be with the -ing form of a verb: e.g. I am working, She is running.",,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,4.0,"In Dagbani, the present continuous is formed by adding ra, na, or ta to the present tense verb (when used without objects):",,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,5.0,O chana - He/She is walking - (Verb is Chama),,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,6.0,Bi dara - They are buying - (Verb is Da),,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,7.0,O birta - He/She is sowing - (Verb is Biri),,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,8.0,"When used with objects, we get the forms -di, -ti, -ni and -ri:",,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,9.0,O damdi zim = He/She/It is stiring flour,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,10.0,O diri saɣim = He/She/It is eating tuo zaafi,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,11.0,Bi chani daa = They are going to the market,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,12.0,"The endings -imi, -mi or -rimi can also indicate present continuous tense in daily usage.",,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,13.0,Questions,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,14.0,Question in English Question in Dagbani,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,15.0,Who? ŋuni?,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,16.0,What? Bo?,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,17.0,Where? Ya?,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,18.0,Asking Questions About What's Happening in The Moment,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,19.0,Question (Dagbani) Answer (Dagbani) Question (English) Answer (English),,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,20.0,Bo ka a niŋda? N guurimi What are you doing? I am running,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,21.0,Bo ka bia maa niŋda? Bia maa dirila bindirigu What is the child doing? The child is eating food,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,22.0,Bo ka paɣa maa niŋda? Paɣa maa bohindila Dagbani What is the woman doing? The woman is learning Dagbani,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,23.0,A Conversation,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,24.0,Dagbani,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,25.0,Me: Dasiba Kataali.,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,26.0,"You: Nnaa, Timtooni.",,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,27.0,Me: A chɛnla shikuru?,,,,,,,,
https://learndagbani.org/courses/learn-dagbanli/?unit=unit-2&lesson=01-present-continuous,raw_text_line,,,,,,,,,,,,,28.0,"You: Aayi, n bi chɛni shikuru.",,,,,,,,
